Centroid X µm,Centroid Y µm,Image,Leiden Cluster Label,cluster_color
3446.4,6520.2,test_image,2,#279e68
3472.7,6528.3,test_image,2,#279e68
3392.1,6532.6,test_image,9,#aec7e8
3406.2,6537.2,test_image,6,#e377c2
3420.9,6540.7,test_image,7,#b5bd61
3399.2,6554.8,test_image,9,#aec7e8
3362.8,6573.4,test_image,7,#b5bd61
3485.3,6576.1,test_image,9,#aec7e8
3442.2,6579.1,test_image,5,#8c564b
3373.9,6578.5,test_image,2,#279e68
3452.0,6580.8,test_image,5,#8c564b
3393.6,6582.2,test_image,9,#aec7e8
3522.8,6583.8,test_image,2,#279e68
3478.1,6585.5,test_image,2,#279e68
3453.6,6586.9,test_image,1,#ff7f0e
3375.8,6587.6,test_image,7,#b5bd61
3463.9,6589.9,test_image,10,#ffbb78
3433.2,6591.1,test_image,5,#8c564b
3536.7,6592.4,test_image,9,#aec7e8
3387.3,6593.9,test_image,7,#b5bd61
3401.8,6593.8,test_image,7,#b5bd61
3444.4,6595.7,test_image,5,#8c564b
3456.4,6596.1,test_image,5,#8c564b
3466.0,6596.6,test_image,2,#279e68
3413.8,6597.1,test_image,2,#279e68
3371.4,6598.3,test_image,4,#aa40fc
3357.4,6598.4,test_image,7,#b5bd61
3539.2,6600.0,test_image,6,#e377c2
3474.5,6602.0,test_image,2,#279e68
3431.0,6602.6,test_image,5,#8c564b
3545.1,6604.0,test_image,1,#ff7f0e
3379.9,6606.1,test_image,5,#8c564b
3389.6,6606.8,test_image,7,#b5bd61
3554.9,6610.2,test_image,1,#ff7f0e
3353.9,6610.7,test_image,10,#ffbb78
3398.4,6612.4,test_image,1,#ff7f0e
3421.2,6614.4,test_image,5,#8c564b
3542.8,6616.0,test_image,6,#e377c2
3432.2,6617.2,test_image,5,#8c564b
3517.2,6617.4,test_image,2,#279e68
3377.6,6618.2,test_image,5,#8c564b
3389.6,6618.1,test_image,7,#b5bd61
3533.9,6619.2,test_image,1,#ff7f0e
3481.9,6619.8,test_image,5,#8c564b
3506.4,6619.8,test_image,7,#b5bd61
3571.9,6620.2,test_image,2,#279e68
3558.7,6620.7,test_image,9,#aec7e8
3461.3,6621.0,test_image,2,#279e68
3382.9,6621.3,test_image,7,#b5bd61
3585.6,6622.8,test_image,0,#1f77b4
3427.7,6623.4,test_image,5,#8c564b
3366.8,6624.4,test_image,5,#8c564b
3372.4,6624.4,test_image,1,#ff7f0e
3515.9,6624.6,test_image,7,#b5bd61
3396.2,6625.2,test_image,5,#8c564b
3509.7,6625.7,test_image,7,#b5bd61
3451.1,6626.3,test_image,5,#8c564b
3411.0,6629.2,test_image,5,#8c564b
3378.8,6629.9,test_image,1,#ff7f0e
3508.5,6631.8,test_image,7,#b5bd61
3575.6,6631.9,test_image,9,#aec7e8
3548.5,6632.3,test_image,10,#ffbb78
3590.8,6633.0,test_image,11,#98df8a
3520.9,6634.3,test_image,7,#b5bd61
3389.1,6636.2,test_image,5,#8c564b
3462.9,6637.9,test_image,1,#ff7f0e
3363.1,6638.9,test_image,5,#8c564b
3432.9,6638.4,test_image,5,#8c564b
3513.8,6639.4,test_image,7,#b5bd61
3369.4,6639.4,test_image,5,#8c564b
3560.7,6639.7,test_image,9,#aec7e8
3501.2,6641.5,test_image,7,#b5bd61
3376.4,6642.0,test_image,7,#b5bd61
3491.9,6643.2,test_image,7,#b5bd61
3485.3,6645.5,test_image,5,#8c564b
3388.4,6645.8,test_image,1,#ff7f0e
3583.4,6647.8,test_image,0,#1f77b4
3412.5,6648.3,test_image,5,#8c564b
3546.1,6648.9,test_image,0,#1f77b4
3496.0,6650.1,test_image,7,#b5bd61
3558.9,6650.7,test_image,0,#1f77b4
3431.6,6649.9,test_image,10,#ffbb78
3372.7,6651.3,test_image,7,#b5bd61
3356.9,6650.8,test_image,5,#8c564b
3525.3,6651.0,test_image,6,#e377c2
3571.7,6652.8,test_image,0,#1f77b4
3535.5,6654.3,test_image,8,#17becf
3442.2,6655.0,test_image,5,#8c564b
3590.9,6657.4,test_image,4,#aa40fc
